Scenario,Region,Variable,2020,2025,2030,2035,2040,2045,2050
NDC_EI_CoC,Japan,electricity_price,0.107138,0.111032,0.08271,0.111916,0.112176,0.124026,0.118226
NDC_EI_CoC,Mexico,electricity_price,0.098968,0.125868,0.119333,0.111948,0.111661,0.114629,0.109971
NDC_EI_CoC,Middle East,electricity_price,0.169084,0.164834,0.164237,0.187835,0.178514,0.171679,0.16241
NDC_EI_CoC,Pakistan,electricity_price,0.119366,0.12339,0.127007,0.136076,0.138781,0.136688,0.132053
NDC_EI_CoC,Russia,electricity_price,0.096116,0.099707,0.100401,0.108547,0.111197,0.11327,0.112144
NDC_EI_CoC,South Africa,electricity_price,0.066596,0.094752,0.102495,0.124462,0.127482,0.125686,0.122276
NDC_EI_CoC,South America_Northern,electricity_price,0.180318,0.171188,0.159344,0.15526,0.158183,0.163064,0.165535
NDC_EI_CoC,South America_Southern,electricity_price,0.111643,0.130195,0.131708,0.121241,0.112645,0.104543,0.102165
NDC_EI_CoC,South Asia,electricity_price,0.099497,0.099779,0.100608,0.104799,0.10677,0.109762,0.10865
NDC_EI_CoC,South Korea,electricity_price,0.083194,0.108325,0.101098,0.128407,0.138216,0.069837,0.072051
NDC_EI_CoC,Southeast Asia,electricity_price,0.067385,0.081136,0.086426,0.09787,0.104267,0.107982,0.105438
NDC_EI_CoC,Taiwan,electricity_price,0.064121,0.065538,0.06546,0.086515,0.099308,0.102887,0.105383
NDC_EI_CoC,USA,electricity_price,0.092384,0.090742,0.091856,0.090932,0.092096,0.092285,0.091558
Survey_CoC,Africa_Eastern,electricity_price,0.140012,0.134195,0.135363,0.139769,0.134571,0.128034,0.121164
Survey_CoC,Africa_Northern,electricity_price,0.120972,0.122652,0.120519,0.121843,0.123055,0.122767,0.122213
Survey_CoC,Africa_Southern,electricity_price,0.170442,0.201349,0.211724,0.210422,0.208298,0.203834,0.189702
Survey_CoC,Africa_Western,electricity_price,0.121633,0.132537,0.131437,0.142094,0.149111,0.149755,0.144367
Survey_CoC,Argentina,electricity_price,0.131026,0.14127,0.141201,0.145639,0.148038,0.150324,0.149593
Survey_CoC,Australia_NZ,electricity_price,0.07819,0.084552,0.110562,0.117582,0.110527,0.113437,0.11322
Survey_CoC,Brazil,electricity_price,0.099524,0.040014,0.066233,0.08123,0.098291,0.102805,0.107867
Survey_CoC,Canada,electricity_price,0.093255,0.092764,0.087651,0.084548,0.090375,0.091967,0.089449
Survey_CoC,Central America and Caribbean,electricity_price,0.12492,0.148274,0.137308,0.134268,0.137647,0.132986,0.124906
Survey_CoC,Central Asia,electricity_price,0.093709,0.105986,0.112421,0.124742,0.126879,0.127891,0.126744
Survey_CoC,China,electricity_price,0.068038,0.061169,0.068373,0.078456,0.087614,0.095568,0.095807
Survey_CoC,Colombia,electricity_price,0.106012,0.132085,0.138843,0.145714,0.13041,0.127537,0.112729
Survey_CoC,EU-12,electricity_price,0.076364,0.059178,0.099133,0.114377,0.12447,0.121966,0.107611
Survey_CoC,EU-15,electricity_price,0.073397,0.052198,0.059013,0.08233,0.100806,0.098438,0.085688
Survey_CoC,Europe_Eastern,electricity_price,0.119326,0.128178,0.123245,0.11079,0.111388,0.112713,0.113329
